coach_qid,startDate,endDate,origin,League
Q126503,2025-06-17T00:00:00Z,,Italian,Italy
Q2032119,2016-09-06T00:00:00Z,2016-11-30T00:00:00Z,Italian,Italy
Q294302,2009-07-01T00:00:00Z,2009-11-23T00:00:00Z,Italian,Italy
Q923088,2011-06-02T00:00:00Z,2011-08-31T00:00:00Z,Italian,Italy
Q116980,2015-08-20T00:00:00Z,2016-07-31T00:00:00Z,Italian,Italy
Q116980,2016-09-02T00:00:00Z,2017-06-30T00:00:00Z,Italian,Italy
Q126503,2024-07-03T00:00:00Z,2025-06-13T00:00:00Z,Italian,Italy
Q1337031,1991-09-16T00:00:00Z,1992-06-30T00:00:00Z,Italian,Italy
Q1407829,1994-02-07T00:00:00Z,1994-06-30T00:00:00Z,Italian,Italy
Q2537282,1984-07-01T00:00:00Z,1985-06-30T00:00:00Z,Italian,Italy
Q2537282,1986-07-01T00:00:00Z,1987-06-30T00:00:00Z,Italian,Italy
Q2631653,2007-07-02T00:00:00Z,2009-04-20T00:00:00Z,Italian,Italy
Q26696437,2010-11-30T00:00:00Z,2011-02-21T00:00:00Z,Italian,Italy
Q3940276,2022-07-01T00:00:00Z,,Italian,Italy
Q578673,1981-07-01T00:00:00Z,1982-06-30T00:00:00Z,Italian,Italy
Q102027,2024-04-01T00:00:00Z,2024-06-30T00:00:00Z,Italian,Italy
Q1080952,1987-12-20T00:00:00Z,1989-06-30T00:00:00Z,Italian,Italy
Q203781,2001-07-01T00:00:00Z,2001-12-10T00:00:00Z,Foreign,Italy
Q2631653,2001-12-12T00:00:00Z,2002-06-30T00:00:00Z,Italian,Italy
Q276544,2018-04-24T00:00:00Z,2018-06-07T00:00:00Z,Foreign,Italy
Q276544,2019-03-20T00:00:00Z,2019-11-01T00:00:00Z,Foreign,Italy
Q310813,2001-03-19T00:00:00Z,2001-06-30T00:00:00Z,Italian,Italy
Q310813,2002-07-01T00:00:00Z,2005-06-17T00:00:00Z,Italian,Italy
Q3838152,2019-11-01T00:00:00Z,,Italian,Italy
Q980528,1991-07-01T00:00:00Z,1992-02-26T00:00:00Z,Italian,Italy
Q230529,2018-06-21T00:00:00Z,2019-05-01T00:00:00Z,Italian,Italy
Q2631653,2006-12-25T00:00:00Z,2007-06-30T00:00:00Z,Italian,Italy
Q276544,2021-09-14T00:00:00Z,2022-05-28T00:00:00Z,Foreign,Italy
Q3852721,2007-12-01T00:00:00Z,2008-01-27T00:00:00Z,Italian,Italy
Q396154,2021-08-01T00:00:00Z,2021-09-01T00:00:00Z,Italian,Italy
Q494319,2010-11-09T00:00:00Z,2015-11-30T00:00:00Z,Italian,Italy
Q556688,2019-06-14T00:00:00Z,,Foreign,Italy
Q126503,2016-06-01T00:00:00Z,2018-06-01T00:00:00Z,Italian,Italy
Q2631653,1994-07-01T00:00:00Z,1994-09-12T00:00:00Z,Italian,Italy
Q2631653,1994-12-15T00:00:00Z,1995-04-10T00:00:00Z,Italian,Italy
Q294302,2018-10-12T00:00:00Z,2019-03-05T00:00:00Z,Italian,Italy
Q310813,1999-07-01T00:00:00Z,1999-11-01T00:00:00Z,Italian,Italy
Q310813,1999-11-29T00:00:00Z,2000-02-07T00:00:00Z,Italian,Italy
Q396154,2024-06-01T00:00:00Z,,Italian,Italy
Q1080952,1991-11-17T00:00:00Z,1992-06-30T00:00:00Z,Italian,Italy
Q1091404,2024-06-05T00:00:00Z,,Italian,Italy
Q126503,2018-06-01T00:00:00Z,2019-01-01T00:00:00Z,Italian,Italy
Q1280931,1980-07-01T00:00:00Z,1981-06-30T00:00:00Z,Italian,Italy
Q1280931,1990-10-28T00:00:00Z,1991-06-30T00:00:00Z,Italian,Italy
Q1407829,1992-07-01T00:00:00Z,1993-02-27T00:00:00Z,Italian,Italy
Q191885,2022-09-12T00:00:00Z,2024-05-24T00:00:00Z,Italian,Italy
Q294351,2008-11-03T00:00:00Z,2009-04-14T00:00:00Z,Foreign,Italy
Q294351,2019-01-28T00:00:00Z,,Foreign,Italy
Q294718,2015-10-28T00:00:00Z,2018-05-24T00:00:00Z,Italian,Italy
Q494319,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z,Italian,Italy
Q923088,2011-10-04T00:00:00Z,2014-01-07T00:00:00Z,Italian,Italy
Q980528,1990-07-01T00:00:00Z,1990-10-22T00:00:00Z,Italian,Italy
Q102027,2022-09-21T00:00:00Z,2023-02-04T00:00:00Z,Italian,Italy
Q126503,2019-06-01T00:00:00Z,2021-05-01T00:00:00Z,Italian,Italy
Q2032119,2017-10-23T00:00:00Z,2018-06-30T00:00:00Z,Italian,Italy
Q126503,2022-07-01T00:00:00Z,2023-10-01T00:00:00Z,Italian,Italy
Q1317738,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z,Italian,Italy
Q370838,2004-07-01T00:00:00Z,2007-05-28T00:00:00Z,Italian,Italy
Q980528,1978-07-01T00:00:00Z,1979-06-30T00:00:00Z,Italian,Italy
Q980528,1982-07-01T00:00:00Z,1983-06-30T00:00:00Z,Italian,Italy
Q1080952,2000-12-12T00:00:00Z,2001-03-27T00:00:00Z,Italian,Italy
Q126503,2023-10-10T00:00:00Z,2024-02-11T00:00:00Z,Italian,Italy
