coachName,nationality,nationality2,teamName,teamCountry
Zdeněk Zeman,Czech Republic,,FC Lugano,Switzerland
Zdeněk Zeman,Czech Republic,,Fenerbahçe Istanbul,Turkey
Zdeněk Zeman,Czech Republic,,Brescia Calcio,Italy
Zdeněk Zeman,Czech Republic,,U.S. Salernitana 1919,Italy
Walter Novellino,Italy,,A.C. Perugia Calcio,Italy
Marcelo Bielsa,Argentina,,Leeds United F.C.,United Kingdom
Marcelo Bielsa,Argentina,,Uruguay men's national football team,National
Helenio Herrera,France,Argentina,Real Valladolid,Spain
Helenio Herrera,France,Argentina,Sevilla FC,Spain
Helenio Herrera,France,Argentina,CD Málaga,Spain
Helenio Herrera,France,Argentina,Stade Français Football,France
Helenio Herrera,France,Argentina,C.F. Os Belenenses,Portugal
Helenio Herrera,France,Argentina,A.S. Roma,Italy
Helenio Herrera,France,Argentina,A.S. Roma,Italy
Helenio Herrera,France,Argentina,Rimini FC,Italy
Helenio Herrera,France,Argentina,Rimini FC,Italy
Helenio Herrera,France,Argentina,Inter Milan,Italy
Helenio Herrera,France,Argentina,Inter Milan,Italy
Helenio Herrera,France,Argentina,FC Barcelona,Spain
Helenio Herrera,France,Argentina,FC Barcelona,Spain
Helenio Herrera,France,Argentina,FC Barcelona,Spain
Helenio Herrera,France,Argentina,Atlético de Madrid,Spain
Helenio Herrera,France,Argentina,Deportivo de La Coruña,Spain
Frank Soo,United Kingdom,,Scunthorpe United F.C.,United Kingdom
Frank Soo,United Kingdom,,Djurgårdens IF Fotboll,Sweden
Bill Dodgin,United Kingdom,,Southampton F.C.,United Kingdom
Roberto Sensini,Argentina,,Udinese Calcio,Italy
Ferruccio Valcareggi,Italy,,A.C. Prato,Italy
Sérgio Conceição,Portugal,,FC Porto,Portugal
Sérgio Conceição,Portugal,,AC Milan,Italy
Sérgio Conceição,Portugal,,FC Nantes,France
Sérgio Conceição,Portugal,,Vitória S.C.,Portugal
Sérgio Conceição,Portugal,,Associação Académica de Coimbra – O.A.F.,Portugal
Sérgio Conceição,Portugal,,S.C. Olhanense,Portugal
Sérgio Conceição,Portugal,,S.C. Braga,Portugal
Alberto Zaccheroni,Italy,,AC Milan,Italy
Luciano Spalletti,Italy,,U.C. Sampdoria,Italy
Luciano Spalletti,Italy,,U.C. Sampdoria,Italy
Luciano Spalletti,Italy,,A.C. Ancona,Italy
Luciano Spalletti,Italy,,SSC Napoli,Italy
Luciano Spalletti,Italy,,A.S. Roma,Italy
Luciano Spalletti,Italy,,A.S. Roma,Italy
Luciano Spalletti,Italy,,Udinese Calcio,Italy
Luciano Spalletti,Italy,,Udinese Calcio,Italy
Luciano Spalletti,Italy,,FC Zenit Saint Petersburg,Russia
Luciano Spalletti,Italy,,Venezia F.C.,Italy
Luciano Spalletti,Italy,,Venezia F.C.,Italy
Luciano Spalletti,Italy,,Inter Milan,Italy
Luciano Spalletti,Italy,,Empoli FC,Italy
Luciano Spalletti,Italy,,Empoli FC,Italy
Luciano Spalletti,Italy,,Italy men's national association football team,National
Nevio Scala,Italy,,AS Reggina 1914,Italy
Arrigo Sacchi,Italy,,AC Milan,Italy
Arrigo Sacchi,Italy,,AC Milan,Italy
Arrigo Sacchi,Italy,,Parma Calcio 1913,Italy
Arrigo Sacchi,Italy,,Parma Calcio 1913,Italy
Arrigo Sacchi,Italy,,Rimini FC,Italy
Arrigo Sacchi,Italy,,Rimini FC,Italy
Arrigo Sacchi,Italy,,Italy men's national association football team,National
Arrigo Sacchi,Italy,,Atlético de Madrid,Spain
Simone Inzaghi,Italy,,SS Lazio,Italy
Simone Inzaghi,Italy,,Inter Milan,Italy
Simone Inzaghi,Italy,,Al Hilal SFC,Saudi Arabia
Luigi Simoni,Italy,,Cosenza Calcio,Italy
Luigi Simoni,Italy,,PFC CSKA Sofia,Bulgaria
Luigi Simoni,Italy,,Genoa CFC,Italy
Luigi Simoni,Italy,,Genoa CFC,Italy
Luigi Simoni,Italy,,Genoa CFC,Italy
Luigi Simoni,Italy,,SS Lazio,Italy
Luigi Simoni,Italy,,SSC Napoli,Italy
Luigi Simoni,Italy,,SSC Napoli,Italy
Luigi Simoni,Italy,,Siena FC,Italy
Luigi Simoni,Italy,,Torino FC,Italy
Luigi Simoni,Italy,,SSC Ancona,Italy
Luigi Simoni,Italy,,Pisa SC,Italy
Luigi Simoni,Italy,,Pisa SC,Italy
Luigi Simoni,Italy,,A.S. Gubbio 1910,Italy
